id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Households
13011337,13,Georgia,GA,DeKalb County,Decatur,Panthersville,CDP,place,30034,678,9497560,52671,33.70832,-84.274474,72545,66366,79773,3421
13011339,13,Georgia,GA,Pierce County,Patterson,Patterson city,City,place,31557,912,6827330,31556,31.384904,-82.13543,137639,102892,158925,249
13011341,13,Georgia,GA,Thomas County,Moultrie,Pavo city,City,place,31768,229,4557721,14501,30.95937,-83.739334,162746,208448,186352,154
13011343,13,Georgia,GA,Fayette County,Peachtree City,Peachtree City city,City,place,30269,770,63567546,2340784,33.391904,-84.570611,169543,168289,175558,12537
13011345,13,Georgia,GA,Atkinson County,Pearson,Pearson city,City,place,31642,912,8682746,24420,31.29721,-82.853957,106182,69532,138274,596
13011347,13,Georgia,GA,Bryan County,Pembroke,Pembroke city,City,place,31321,912,19663251,238391,32.144525,-81.616915,99748,87562,112227,1049
13011349,13,Georgia,GA,Jenkins County,Millen,Perkins,CDP,place,30442,478,5358989,133206,32.919257,-81.944353,78727,300000,68146,52
13011351,13,Georgia,GA,Peach County,Perry,Perry city,City,place,31069,478,68182977,326593,32.472008,-83.726245,19000,300000,4525,42
13011353,13,Georgia,GA,Dooly County,Pinehurst,Pinehurst city,City,place,31070,229,2634593,7685,32.196212,-83.759519,63406,65335,67372,155
13011355,13,Georgia,GA,Harris County,Warm Spring,Pine Mountain,Town,place,31830,706,7471383,270895,32.852005,-84.851631,118587,84896,139373,581
13011357,13,Georgia,GA,Wilcox County,Rochelle,Pineview,Town,place,31079,229,5048234,13773,32.10428,-83.50887,33361,21055,36879,185
13011359,13,Georgia,GA,Sumter County,Americus,Plains city,City,place,31719,229,2108491,0,32.03307,-84.394526,102964,59404,136612,247
13011361,13,Georgia,GA,Chatham County,Pooler,Pooler city,City,place,31322,912,76773378,1853868,32.101994,-81.255377,143121,110864,153891,8156
13011363,13,Georgia,GA,Newton County,Covington,Porterdale city,City,place,30014,678,5996002,127037,33.573706,-83.894787,61990,58628,62727,667
13011365,13,Georgia,GA,Worth County,Sylvester,Poulan city,City,place,31791,229,4333998,0,31.514506,-83.78982,79244,70711,96065,360
13011367,13,Georgia,GA,Candler County,Metter,Pulaski,Town,place,30439,912,2063346,5243,32.390652,-81.952672,59476,56624,57022,80
